Number	Accession	A's	G'c	C's	T's	N's	Length	GC%
55	EU521996	369	236	228	250	0	1083	fpCG
56	EU521997	357	227	223	243	0	1050	fpCG
57	AJ006954	463	347	263	387	0	1460	fpCG
58	AJ564805	797	575	431	538	0	2341	fpCG
59	AJ564807	741	463	411	498	0	2113	fpCG
60	AJ605762	743	528	414	547	1	2233	fpCG
61	AJ628066	507	412	315	331	0	1565	fpCG
62	EU502201	342	202	216	227	0	987	fpCG
63	EU605964	350	226	220	242	0	1038	fpCG
64	EU521869	383	247	240	268	0	1138	fpCG
65	EU521883	376	245	234	267	0	1122	fpCG
66	EU605950	386	252	234	266	0	1138	fpCG
67	EU605955	388	251	234	267	0	1140	fpCG
68	EU605956	385	250	232	267	0	1134	fpCG
69	EU605957	385	250	232	267	0	1134	fpCG
70	EU521837	368	225	228	250	0	1071	fpCG
71	EU521910	362	233	232	255	0	1082	fpCG
72	EU522013	360	232	229	255	0	1076	fpCG
73	EU522014	359	231	228	252	0	1070	fpCG
74	EU605976	359	227	225	243	0	1054	fpCG
75	EU521866	385	251	233	267	0	1136	fpCG
76	EU605977	353	227	224	244	0	1048	fpCG
77	EU522015	378	245	235	267	0	1125	fpCG
78	EU521808	385	251	233	267	0	1136	fpCG
79	EU521809	374	265	235	265	0	1139	fpCG
80	EU521901	359	235	232	253	0	1079	fpCG
81	EU521954	349	225	221	239	0	1034	fpCG
82	EU521955	350	222	212	241	0	1025	fpCG
83	EU521875	343	216	215	235	0	1009	fpCG
84	EU521887	362	237	230	260	0	1089	fpCG
85	EU521888	349	231	221	244	0	1045	fpCG
86	EU521889	376	244	236	264	0	1120	fpCG
87	EU521890	367	240	235	262	0	1104	fpCG
88	EU521846	322	209	201	226	0	958	fpCG
89	EU521847	344	202	211	222	0	979	fpCG
90	EU521909	357	231	227	249	0	1064	fpCG
91	EU521941	361	231	222	251	0	1065	fpCG
92	EU521974	355	228	224	244	0	1051	fpCG
93	EU605971	349	227	222	239	0	1037	fpCG
94	EU521880	357	236	227	256	0	1076	fpCG
95	EU521905	365	238	236	262	0	1101	fpCG
96	EU521853	376	245	232	264	0	1117	fpCG
97	EU521858	388	255	236	269	0	1148	fpCG
98	EU521993	361	234	232	259	0	1086	fpCG
99	EU521857	386	250	235	268	0	1139	fpCG
100	EU521822	373	259	236	268	0	1136	fpCG
101	EU521823	382	267	239	276	0	1164	fpCG
102	EU521824	373	241	230	256	0	1100	fpCG
103	EU605962	375	258	234	270	0	1137	fpCG
104	EU521833	378	258	235	268	0	1139	fpCG
105	EU521848	373	260	236	267	0	1136	fpCG
106	EU521849	379	263	235	270	0	1147	fpCG
107	EU521958	346	224	219	240	0	1029	fpCG
108	EU521960	360	234	224	247	0	1065	fpCG
109	EU521961	344	223	219	237	0	1023	fpCG
110	EU521962	346	223	217	240	0	1026	fpCG
111	EU521963	367	237	231	249	0	1084	fpCG
112	EU521959	360	235	225	248	0	1068	fpCG
113	EU521842	342	223	215	234	0	1014	fpCG
114	EU521907	369	233	237	257	0	1096	fpCG
115	EU521965	358	232	223	246	0	1059	fpCG
116	EU521966	346	223	220	238	0	1027	fpCG
117	CY039909	613	382	319	424	0	1738	fpCG
118	CY039910	294	247	214	234	0	989	fpCG
119	CY039910	294	247	214	234	0	989	fpCG
120	CY039911	463	333	249	376	0	1421	fpCG
121	CY039912	497	406	295	327	0	1525	fpCG
122	CY039913	266	205	165	212	0	848	fpCG
123	CY039913	266	205	165	212	0	848	fpCG
124	CY039914	740	512	387	539	0	2179	fpCG
125	CY039915	773	518	429	564	0	2284	fpCG
126	CY039916	792	578	413	523	0	2307	fpCG
127	L24362	610	382	320	426	0	1738	fpCG
128	L24394	508	410	299	333	0	1550	fpCG
129	EU521979	337	203	216	231	0	987	fpCG
130	EU521980	331	193	209	224	0	957	fpCG
131	EU521981	346	224	219	239	0	1028	fpCG
132	EU521982	347	224	219	238	0	1028	fpCG
133	EU521903	319	192	212	226	0	949	fpCG
134	EU521956	373	243	236	258	0	1110	fpCG
135	EU521975	328	196	206	226	0	956	fpCG
136	CY039893	617	386	320	414	0	1737	fpCG
137	CY039894	287	256	208	236	0	987	fpCG
138	CY039894	287	256	208	236	0	987	fpCG
139	CY039895	453	329	263	369	0	1414	fpCG
140	CY039896	504	405	300	317	0	1526	fpCG
141	CY039897	272	201	169	209	0	851	fpCG
142	CY039897	272	201	169	209	0	851	fpCG
143	CY039898	716	536	434	511	0	2197	fpCG
144	CY039899	821	521	443	520	0	2305	fpCG
145	CY039900	770	591	433	494	0	2288	fpCG
146	CY039901	616	384	320	415	0	1735	fpCG
147	CY039902	287	256	208	236	0	987	fpCG
148	CY039902	287	256	208	236	0	987	fpCG
149	CY039903	452	330	262	368	0	1412	fpCG
150	CY039904	500	403	299	317	0	1519	fpCG
151	CY039905	268	201	168	209	0	846	fpCG
152	CY039905	268	201	168	209	0	846	fpCG
153	CY039906	713	535	432	509	0	2189	fpCG
154	CY039907	820	519	443	517	0	2299	fpCG
155	CY039908	774	590	433	498	0	2295	fpCG
156	EU502324	344	201	216	226	0	987	fpCG
157	EU502325	340	205	219	223	0	987	fpCG
158	EU605963	352	228	223	243	0	1046	fpCG
159	EU521874	364	230	227	257	0	1078	fpCG
160	EU521876	345	216	215	233	0	1009	fpCG
161	EU605965	358	227	223	242	0	1050	fpCG
162	EU521877	349	215	218	233	0	1015	fpCG
163	EU521878	378	244	238	265	0	1125	fpCG
164	EU521884	384	246	241	269	0	1140	fpCG
165	EU521885	385	246	242	268	0	1141	fpCG
166	EU521886	351	228	218	244	0	1041	fpCG
167	EU521811	388	251	234	266	0	1139	fpCG
168	EU521814	409	261	246	279	0	1195	fpCG
169	EU521820	378	259	238	264	0	1139	fpCG
170	EU521838	366	225	229	247	0	1067	fpCG
171	EU521850	369	230	229	251	0	1079	fpCG
172	EU521851	369	224	227	239	0	1059	fpCG
173	EU521852	388	250	236	265	0	1139	fpCG
174	EU521904	383	245	241	266	0	1135	fpCG
175	EU521854	369	221	227	245	0	1062	fpCG
176	EU521912	363	235	230	260	0	1088	fpCG
177	EU605968	348	228	221	240	0	1037	fpCG
178	EU521942	375	246	237	264	0	1122	fpCG
179	EU521967	356	230	222	244	0	1052	fpCG
180	EU521987	346	226	220	241	0	1033	fpCG
181	EU521988	336	195	208	225	0	964	fpCG
182	EU521989	347	225	220	242	0	1034	fpCG
183	EU522002	379	244	237	262	0	1122	fpCG
184	EU522003	364	235	231	258	0	1088	fpCG
185	EU521860	376	258	240	265	0	1139	fpCG
186	EU522004	382	246	240	267	0	1135	fpCG
187	EU522005	385	243	241	266	0	1136	fpCG
188	EU521818	384	250	234	268	0	1136	fpCG
189	EU521819	383	252	234	267	0	1136	fpCG
190	EU521825	385	246	230	269	0	1130	fpCG
191	EU521832	371	234	231	252	0	1088	fpCG
192	EU605960	385	250	233	269	0	1137	fpCG
193	EU605961	385	250	233	269	0	1137	fpCG
194	EU521810	387	250	233	266	0	1136	fpCG
195	EU521817	364	239	227	258	0	1088	fpCG
196	EU521911	383	245	243	265	0	1136	fpCG
197	EU521952	343	218	216	235	0	1012	fpCG
198	EU521953	381	245	242	264	0	1132	fpCG
199	EU521976	353	230	224	244	0	1051	fpCG
200	EU521977	350	224	222	242	0	1038	fpCG
201	EU521978	342	209	220	230	0	1001	fpCG
202	EU521902	356	225	213	242	0	1036	fpCG
203	EU605967	350	227	219	242	0	1038	fpCG
204	EU605958	383	251	233	267	0	1134	fpCG
205	EU521841	368	257	234	268	0	1127	fpCG
206	EU521908	349	222	221	237	0	1029	fpCG
207	EU521921	377	243	239	263	0	1122	fpCG
208	EU521922	359	236	226	247	0	1068	fpCG
209	EU605969	352	228	224	244	0	1048	fpCG
210	EU521923	346	225	219	243	0	1033	fpCG
211	EU521924	366	236	228	249	0	1079	fpCG
212	EU521944	350	229	223	242	0	1044	fpCG
213	EU521945	366	237	231	250	0	1084	fpCG
214	EU521946	348	225	219	246	0	1038	fpCG
215	EU521947	343	222	218	238	0	1021	fpCG
216	EU521948	359	227	220	242	0	1048	fpCG
217	EU521949	353	223	216	240	0	1032	fpCG
218	EU521950	337	216	209	236	0	998	fpCG
219	EU521951	357	229	220	243	0	1049	fpCG
220	EU521971	345	207	220	229	0	1001	fpCG
221	EU521972	353	227	223	242	0	1045	fpCG
222	CY030235	371	254	237	269	0	1131	fpCG
223	EU521899	383	248	240	267	0	1138	fpCG
224	EU605966	352	230	221	242	0	1045	fpCG
225	EU605949	392	255	235	269	0	1151	fpCG
226	EU521826	375	254	238	265	0	1132	fpCG
227	EU521827	386	245	232	267	0	1130	fpCG
228	EU521828	390	254	235	269	0	1148	fpCG
229	EU521843	371	228	229	248	0	1076	fpCG
230	EU521925	342	220	217	237	0	1016	fpCG
231	EU521926	347	227	220	240	0	1034	fpCG
232	EU521943	362	237	227	251	0	1077	fpCG
233	EU521957	374	246	238	267	0	1125	fpCG
234	EU521968	348	228	222	244	0	1042	fpCG
235	EU521969	307	182	195	213	0	897	fpCG
236	EU521990	334	198	209	224	0	965	fpCG
237	EU521855	375	259	236	269	0	1139	fpCG
238	EU521856	373	261	234	270	0	1138	fpCG
239	EU521991	344	229	221	241	0	1035	fpCG
240	EU521867	349	215	217	234	0	1015	fpCG
241	EU521868	382	242	240	265	0	1129	fpCG
242	EU521798	358	248	231	251	0	1088	fpCG
243	EU521799	375	243	231	260	0	1109	fpCG
244	EU521800	361	246	233	253	0	1093	fpCG
245	EU521801	379	241	231	254	0	1105	fpCG
246	EU521802	373	235	230	253	0	1091	fpCG
247	EU521803	384	252	235	268	0	1139	fpCG
248	EU521804	386	250	235	265	0	1136	fpCG
249	EU521805	383	245	232	267	0	1127	fpCG
250	EU521881	387	246	244	268	0	1145	fpCG
251	EU521882	352	212	218	233	0	1015	fpCG
252	EU605951	390	254	235	268	0	1147	fpCG
253	EU605952	392	255	236	269	0	1152	fpCG
254	EU521834	369	236	229	257	0	1092	fpCG
255	EU521835	367	224	231	249	0	1071	fpCG
256	EU521836	372	236	232	253	0	1093	fpCG
257	EU521844	382	245	233	268	0	1128	fpCG
258	EU521845	385	245	234	267	0	1131	fpCG
259	EU521919	351	228	221	243	0	1043	fpCG
260	EU521920	364	235	228	247	0	1074	fpCG
261	EU521973	356	227	225	243	0	1051	fpCG
262	EU605972	308	187	196	217	0	908	fpCG
263	EU605973	335	202	209	225	0	971	fpCG
264	EU605974	352	226	222	242	0	1042	fpCG
265	EU605975	339	212	208	233	0	992	fpCG
266	EU521864	359	238	225	256	0	1078	fpCG
267	EU521865	372	236	230	255	0	1093	fpCG
268	EU522007	382	246	242	268	0	1138	fpCG
269	EU522008	379	246	240	266	0	1131	fpCG
270	EU522009	380	246	241	267	0	1134	fpCG
271	EU522010	342	219	217	235	0	1013	fpCG
272	EU522011	343	223	218	240	0	1024	fpCG
273	EU522012	345	227	221	242	0	1035	fpCG
274	EU522006	365	238	227	248	0	1078	fpCG
275	EU521861	373	232	229	253	0	1087	fpCG
276	EU521862	394	254	234	266	0	1149	fpCG
277	EU521863	393	254	236	266	0	1149	fpCG
278	EU502396	343	200	219	225	0	987	fpCG
279	EU502397	342	204	217	224	0	987	fpCG
280	EU521871	363	235	227	262	0	1087	fpCG
281	EU521872	378	244	235	265	0	1122	fpCG
282	EU521873	356	229	220	246	0	1051	fpCG
283	EU605953	387	250	233	266	0	1136	fpCG
284	EU521821	386	249	232	267	0	1134	fpCG
285	EU605954	386	251	233	266	0	1136	fpCG
286	EU521831	370	255	240	262	0	1127	fpCG
287	EU605959	388	251	231	270	0	1140	fpCG
288	EU521859	382	248	232	265	0	1127	fpCG
289	CS406467	353	229	220	240	0	1042	fpCG
290	AJ489861	329	210	215	221	0	975	fpCG
291	AJ489851	433	338	276	360	0	1407	fpCG
292	AJ489862	329	210	215	221	0	975	fpCG
293	AJ489859	329	210	215	221	0	975	fpCG
294	AJ489860	329	210	214	222	0	975	fpCG
295	CY021709	620	393	335	403	0	1751	fpCG
296	CY021710	286	264	207	243	0	1000	fpCG
297	CY021710	286	264	207	243	0	1000	fpCG
298	CY021711	432	358	248	391	0	1429	fpCG
299	CY021712	497	401	312	324	0	1534	fpCG
300	CY021713	267	210	173	201	0	851	fpCG
301	CY021713	267	210	173	201	0	851	fpCG
302	CY021714	737	521	415	533	0	2206	fpCG
303	CY021715	796	511	443	533	0	2283	fpCG
304	CY021715	796	511	443	533	0	2283	fpCG
305	CY021716	788	573	414	534	0	2309	fpCG
306	CY020285	620	391	332	398	0	1741	fpCG
307	CY020286	279	262	206	241	0	988	fpCG
308	CY020286	279	262	206	241	0	988	fpCG
309	CY020287	423	359	250	378	0	1410	fpCG
310	CY020288	495	405	307	323	0	1530	fpCG
311	CY020289	271	204	173	201	0	849	fpCG
312	CY020289	271	204	173	201	0	849	fpCG
313	CY020290	723	523	414	528	0	2188	fpCG
314	CY020291	797	512	444	535	0	2288	fpCG
315	CY020291	797	512	444	535	0	2288	fpCG
316	CY020292	774	579	422	525	0	2300	fpCG
317	EU501856	345	199	218	225	0	987	fpCG
318	EU501595	342	203	216	226	0	987	fpCG
319	EU501596	342	203	218	224	0	987	fpCG
320	EU501855	345	199	218	225	0	987	fpCG
321	EU501363	342	205	218	222	0	987	fpCG
322	EU501364	345	201	216	225	0	987	fpCG
323	EU501857	344	200	218	225	0	987	fpCG
324	EU501858	342	201	217	227	0	987	fpCG
325	EU501859	342	202	217	226	0	987	fpCG
326	EU501860	344	200	218	225	0	987	fpCG
327	EU501365	341	205	217	224	0	987	fpCG
328	EU501597	342	203	215	227	0	987	fpCG
329	EU501598	341	203	219	224	0	987	fpCG
330	EU501599	341	203	219	224	0	987	fpCG
331	EU501861	342	201	219	225	0	987	fpCG
332	EU502548	342	201	219	225	0	987	fpCG
333	EU501602	341	204	215	227	0	987	fpCG
334	EU501603	341	203	217	226	0	987	fpCG
335	EU501604	343	201	218	225	0	987	fpCG
336	EU501605	341	201	217	228	0	987	fpCG
337	EU501606	340	205	222	220	0	987	fpCG
338	EU501600	340	205	219	223	0	987	fpCG
339	EU501601	341	203	217	226	0	987	fpCG
340	EU501607	343	201	218	225	0	987	fpCG
341	EU501608	341	203	218	225	0	987	fpCG
342	EU501366	341	205	217	224	0	987	fpCG
343	EU501862	341	203	221	222	0	987	fpCG
344	EU501367	339	206	217	225	0	987	fpCG
345	EU501863	341	202	217	227	0	987	fpCG
346	EU501864	340	203	224	220	0	987	fpCG
347	EU501206	337	210	216	224	0	987	fpCG
348	EU501865	346	199	217	225	0	987	fpCG
349	EU501122	331	216	213	227	0	987	fpCG
350	EU501866	345	200	216	226	0	987	fpCG
351	EU501123	335	215	213	224	0	987	fpCG
352	EU501371	342	203	217	225	0	987	fpCG
353	EU501205	338	209	216	224	0	987	fpCG
354	EU501867	345	200	216	226	0	987	fpCG
355	CY063606	618	382	318	416	0	1734	fpCG
356	CY063607	290	253	208	236	0	987	fpCG
357	CY063607	290	253	208	236	0	987	fpCG
358	CY063608	454	330	264	372	0	1420	fpCG
359	CY063609	504	401	300	318	0	1523	fpCG
360	CY063610	271	202	169	208	0	850	fpCG
361	CY063610	271	202	169	208	0	850	fpCG
362	CY063611	712	532	428	503	0	2175	fpCG
363	CY063612	818	523	445	517	0	2303	fpCG
364	CY063613	772	590	433	498	0	2293	fpCG
365	CY073725	617	383	318	414	0	1734	fpCG
366	CY073726	290	253	207	237	0	987	fpCG
367	CY073726	290	253	207	237	0	987	fpCG
368	CY073727	454	330	265	371	0	1420	fpCG
369	CY073728	504	401	301	314	0	1523	fpCG
370	CY073729	270	202	169	209	0	850	fpCG
371	CY073729	270	202	169	209	0	850	fpCG
372	CY073730	712	532	427	504	0	2175	fpCG
373	CY073731	817	524	445	517	0	2303	fpCG
374	CY073732	773	588	433	499	0	2293	fpCG
375	CY062691	615	384	319	416	0	1734	fpCG
376	CY062692	292	251	208	236	0	987	fpCG
377	CY062692	292	251	208	236	0	987	fpCG
378	CY062693	453	331	265	371	0	1420	fpCG
379	CY062694	504	401	303	315	0	1523	fpCG
380	CY062695	269	203	169	209	0	850	fpCG
381	CY062695	269	203	169	209	0	850	fpCG
382	CY062696	713	532	425	505	0	2175	fpCG
383	CY062697	822	519	443	519	0	2303	fpCG
384	CY062698	770	591	431	501	0	2293	fpCG
385	CY062699	617	383	319	415	0	1734	fpCG
386	CY062700	289	254	208	236	0	987	fpCG
387	CY062700	289	254	208	236	0	987	fpCG
388	CY062701	453	331	264	372	0	1420	fpCG
389	CY062702	501	404	301	317	0	1523	fpCG
390	CY062703	269	203	169	209	0	850	fpCG
391	CY062703	269	203	169	209	0	850	fpCG
392	CY062704	713	532	425	505	0	2175	fpCG
393	CY062705	822	520	440	521	0	2303	fpCG
394	CY062706	772	589	433	499	0	2293	fpCG
395	CY066935	618	382	319	415	0	1734	fpCG
396	CY066936	291	253	208	235	0	987	fpCG
397	CY066936	291	253	208	235	0	987	fpCG
398	CY066937	453	331	264	372	0	1420	fpCG
399	CY066938	504	401	301	317	0	1523	fpCG
400	CY066939	270	202	169	209	0	850	fpCG
401	CY066939	270	202	169	209	0	850	fpCG
402	CY066940	715	532	426	502	0	2175	fpCG
403	CY066941	822	519	443	519	0	2303	fpCG
404	CY066942	773	588	433	499	0	2293	fpCG
405	CY066943	618	384	319	413	0	1734	fpCG
406	CY066944	290	253	209	235	0	987	fpCG
407	CY066944	290	253	209	235	0	987	fpCG
408	CY066945	454	330	264	372	0	1420	fpCG
409	CY066946	503	401	301	318	0	1523	fpCG
410	CY066947	270	203	168	209	0	850	fpCG
411	CY066947	270	203	168	209	0	850	fpCG
412	CY066948	713	532	427	503	0	2175	fpCG
413	CY066949	822	519	443	519	0	2303	fpCG
414	CY066950	772	590	433	498	0	2293	fpCG
415	CY066951	616	384	320	414	0	1734	fpCG
416	CY066952	289	254	208	236	0	987	fpCG
417	CY066952	289	254	208	236	0	987	fpCG
418	CY066953	453	331	263	373	0	1420	fpCG
419	CY066954	504	401	300	318	0	1523	fpCG
420	CY066955	271	201	169	209	0	850	fpCG
421	CY066955	271	201	169	209	0	850	fpCG
422	CY066956	714	532	425	504	0	2175	fpCG
423	CY066957	822	519	442	517	0	2303	fpCG
424	CY066958	772	590	434	497	0	2293	fpCG
425	CY066959	618	384	318	414	0	1734	fpCG
426	CY066960	290	253	207	237	0	987	fpCG
427	CY066960	290	253	207	237	0	987	fpCG
428	CY066961	454	330	264	372	0	1420	fpCG
429	CY066962	504	401	300	318	0	1523	fpCG
430	CY066963	270	202	169	209	0	850	fpCG
431	CY066963	270	202	169	209	0	850	fpCG
432	CY066964	711	533	428	503	0	2175	fpCG
433	CY066965	817	524	445	517	0	2303	fpCG
434	CY066966	772	589	433	499	0	2293	fpCG
435	CY066967	619	383	319	413	0	1734	fpCG
436	CY066968	292	251	208	236	0	987	fpCG
437	CY066968	292	251	208	236	0	987	fpCG
438	CY066969	453	331	264	372	0	1420	fpCG
439	CY066970	504	401	303	315	0	1523	fpCG
440	CY066971	270	202	169	209	0	850	fpCG
441	CY066971	270	202	169	209	0	850	fpCG
442	CY066972	714	531	427	503	0	2175	fpCG
443	CY066973	820	521	442	520	0	2303	fpCG
444	CY066974	771	589	433	500	0	2293	fpCG
445	CY066975	617	384	318	415	0	1734	fpCG
446	CY066976	289	254	208	236	0	987	fpCG
447	CY066976	289	254	208	236	0	987	fpCG
448	CY066977	450	332	264	373	0	1420	fpCG
449	CY066978	503	403	300	317	0	1523	fpCG
450	CY066979	269	203	169	209	0	850	fpCG
451	CY066979	269	203	169	209	0	850	fpCG
452	CY066980	713	532	425	505	0	2175	fpCG
453	CY066981	822	520	442	519	0	2303	fpCG
454	CY066982	772	590	434	497	0	2293	fpCG
455	CY067031	618	384	318	414	0	1734	fpCG
456	CY067032	292	251	208	236	0	987	fpCG
457	CY067032	292	251	208	236	0	987	fpCG
458	CY067033	456	329	265	370	0	1420	fpCG
459	CY067034	503	402	300	318	0	1523	fpCG
460	CY067035	270	203	168	209	0	850	fpCG
461	CY067035	270	203	168	209	0	850	fpCG
462	CY067036	715	530	426	504	0	2175	fpCG
463	CY067037	820	520	444	518	0	2303	fpCG
464	CY067038	773	588	433	499	0	2293	fpCG
465	CY067039	622	388	319	414	0	1743	fpCG
466	CY067040	288	255	207	237	0	987	fpCG
467	CY067040	288	255	207	237	0	987	fpCG
468	CY067041	454	330	264	372	0	1420	fpCG
469	CY067042	504	401	300	318	0	1523	fpCG
470	CY067043	270	202	169	209	0	850	fpCG
471	CY067043	270	202	169	209	0	850	fpCG
472	CY067044	711	532	428	504	0	2175	fpCG
473	CY067045	816	525	445	517	0	2303	fpCG
474	CY067046	772	589	432	500	0	2293	fpCG
475	CY067047	619	383	319	413	0	1734	fpCG
476	CY067048	289	254	207	237	0	987	fpCG
477	CY067048	289	254	207	237	0	987	fpCG
478	CY067049	453	332	263	372	0	1420	fpCG
479	CY067050	501	404	301	317	0	1523	fpCG
480	CY067051	270	202	169	209	0	850	fpCG
481	CY067051	270	202	169	209	0	850	fpCG
482	CY067052	714	530	425	506	0	2175	fpCG
483	CY067053	822	520	442	519	0	2303	fpCG
484	CY067054	773	589	433	498	0	2293	fpCG
485	CY067055	618	383	321	412	0	1734	fpCG
486	CY067056	292	252	208	235	0	987	fpCG
487	CY067056	292	252	208	235	0	987	fpCG
488	CY067057	456	328	265	371	0	1420	fpCG
489	CY067058	505	400	302	316	0	1523	fpCG
490	CY067059	269	203	169	209	0	850	fpCG
491	CY067059	269	203	169	209	0	850	fpCG
492	CY067060	712	534	426	503	0	2175	fpCG
493	CY067061	822	519	442	520	0	2303	fpCG
494	CY067062	771	590	432	500	0	2293	fpCG
495	CY056947	608	383	317	412	0	1720	fpCG
496	CY056948	288	251	208	235	0	982	fpCG
497	CY056948	288	251	208	235	0	982	fpCG
498	CY056949	451	331	264	372	0	1418	fpCG
499	CY056950	502	401	301	312	0	1516	fpCG
500	CY056951	265	203	168	208	0	844	fpCG
501	CY056951	265	203	168	208	0	844	fpCG
502	CY056952	709	531	423	500	0	2163	fpCG
503	CY056953	820	519	443	517	0	2299	fpCG
504	CY056954	771	587	433	495	0	2286	fpCG
505	GU367315	627	388	321	413	0	1752	fpCG
506	GU367316	460	332	265	375	0	1433	fpCG
507	HM628693	579	372	342	408	0	1701	fpCG
508	HM628694	580	372	342	407	0	1701	fpCG
509	AB124653	427	344	270	369	0	1410	fpCG
510	AB432937	571	410	303	405	0	1689	fpCG
511	D13576	138	102	63	91	0	394	fpCG
512	M57670	42	32	25	18	0	117	fpCG
513	GQ369800	171	130	85	131	0	517	fpCG
514	CY071815	771	586	432	491	0	2280	fpCG
515	CY071817	704	530	421	496	0	2151	fpCG
516	CY071818	599	376	312	408	0	1695	fpCG
517	CY071819	493	398	293	313	0	1497	fpCG
518	CY071820	451	329	263	367	0	1410	fpCG
519	CY071821	285	254	207	236	0	982	fpCG
520	CY071821	285	254	207	236	0	982	fpCG
521	CY071822	267	202	168	209	0	846	fpCG
522	CY071822	267	202	168	209	0	846	fpCG
523	CY071823	770	587	433	490	0	2280	fpCG
524	CY071825	704	530	421	496	0	2151	fpCG
525	CY071826	601	377	314	409	0	1701	fpCG
526	CY071827	493	398	293	313	0	1497	fpCG
527	CY071828	451	329	263	367	0	1410	fpCG
528	CY071829	286	255	207	234	0	982	fpCG
529	CY071829	286	255	207	234	0	982	fpCG
530	CY071830	267	202	168	209	0	846	fpCG
531	CY071830	267	202	168	209	0	846	fpCG
532	CY031308	354	219	223	244	0	1040	fpCG
533	CY031309	354	220	226	240	0	1040	fpCG
534	CY031310	353	221	224	242	0	1040	fpCG
535	CY031311	353	221	224	242	0	1040	fpCG
536	CY031312	353	221	224	242	0	1040	fpCG
537	CY031313	354	221	225	240	0	1040	fpCG
538	CY062377	601	378	316	406	0	1701	fpCG
539	CY062378	599	379	314	409	0	1701	fpCG
540	CY062379	599	379	314	409	0	1701	fpCG
541	CY062380	599	379	314	409	0	1701	fpCG
542	CY062381	599	379	314	409	0	1701	fpCG
543	CY062382	599	379	314	409	0	1701	fpCG
544	CY062383	599	379	314	409	0	1701	fpCG
545	CY062384	599	379	314	409	0	1701	fpCG
546	CY062385	600	378	313	410	0	1701	fpCG
547	CY062386	600	378	314	409	0	1701	fpCG
548	CY062387	600	378	314	409	0	1701	fpCG
549	CY062389	600	379	313	409	0	1701	fpCG
550	CY062390	599	379	314	409	0	1701	fpCG
551	CY062391	599	379	314	409	0	1701	fpCG
552	CY062392	598	379	313	411	0	1701	fpCG
553	CY062393	599	379	314	409	0	1701	fpCG
554	CY062394	599	379	314	409	0	1701	fpCG
555	CY062395	600	379	316	406	0	1701	fpCG
556	CY062396	601	378	314	408	0	1701	fpCG
557	CY062397	601	378	313	409	0	1701	fpCG
558	CY062398	599	379	314	409	0	1701	fpCG
559	CY062399	599	379	314	409	0	1701	fpCG
560	CY062400	601	378	316	406	0	1701	fpCG
561	CY062401	599	379	314	409	0	1701	fpCG
562	CY062402	599	379	314	409	0	1701	fpCG
563	CY062403	601	378	313	409	0	1701	fpCG
